cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9svE3A7h1FQ," @Suyash-ve  he's illiterate bruhh, he don't know science all this stuffs so he haven't understand this movie",1 year ago (edited),@mac_0041u,UCrlgGcMwnJUoyxLcOVBbgMg,0,https://yt3.ggpht.com/RMZzpuJ1V98GEhtg3PphHzRulIH9xQbsn5StfiGj-7wquKjwIRVENQXABt3EkrV4dstOsOw4=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.519211
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9tC-8RkfK77,yes soo true,1 year ago,@SOLOMON-ALEXANDER,UClpyDZzun9SMehy2D12Z4dw,2,https://yt3.ggpht.com/ytc/AIdro_m8ehgu8CRkbWONtcHZBVzFJYpcsBueV0Ri_QLUvoNWvj8R=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.520542
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9tC-CkA4jt7, @krishnaghimire3000   no one asked u... dont share your experiences,1 year ago (edited),@SOLOMON-ALEXANDER,UClpyDZzun9SMehy2D12Z4dw,0,https://yt3.ggpht.com/ytc/AIdro_m8ehgu8CRkbWONtcHZBVzFJYpcsBueV0Ri_QLUvoNWvj8R=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.521886
Ugxr2LzWNHihKK85m9p4AaABAg.9hvtOrWKLaq9tDfTko_hlY,"say something new, this comment is so obsolete",1 year ago,@rxshux,UCvxSOl1IGVTqiev3QXab7pQ,0,https://yt3.ggpht.com/sFrvCc9E-3ERc8KinsQQ7qBfSOjnKPoJvvXNtU2QcKVSwrDKkYE0eEqX1YHR0ie3ROCZ0jBo=s88-c-k-c0x00ffffff-no-rj,False,True,1710097898.523245
UgxXDBcc913cSbeukhV4AaABAg.9hqDWFnEjLn9iZEtigNb2C,Cómo se llama?,2 years ago,@domenicavega6320,UCI3aQZA7u53aNdKzBFMvi3g,0,https://yt3.ggpht.com/ytc/AIdro_mBVNsGOPmaU5A11ntmIeNgKYqCDoujcui9IgUTGH76DIMXsWCfsYP1u5nTgQTXotUAtA=s88-c-k-c0x00ffffff-no-rj,False,True,1678475498.710321
UgxXDBcc913cSbeukhV4AaABAg.9hqDWFnEjLn9jtC7fLKb0k, @domenicavega6320  Interestelar,2 years ago,@Horacio-w1q,UCg1pgS2EypJINwGUglJpkbA,0,https://yt3.ggpht.com/q4aRTahH3jTFMNt4ji0NOSFr1HKxxHs0X2apWy3ebRlujfZhnWa2LbhlQCLquUU1I5-uEXHnvQ=s88-c-k-c0x00ffffff-no-rj,False,True,1678475498.712938
UgzUPQTnkTCcLYGfbnN4AaABAg,This film in my mind not go,2 years ago,@ruslmajed1285,UCBuISnf57KqJQN5e5m0ll2w,0,https://yt3.ggpht.com/ytc/AIdro_nhoOi8Lhcr7w0l0Ur6N0ern1n6gqe49p8sDZDsXjKezsAllwS3frRAi1p45L_qVDrCfQ=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.958733
UgzITx5r2w5rPzMDkrB4AaABAg,"I watched this last night for the second time, I didn't understand then, not sure I understand now but I'm in tears at the end.",2 years ago,@brybish,UC8QxQkhi69OW68jbi4A59zA,0,https://yt3.ggpht.com/ytc/AIdro_n5fgZTuwoKg2d4ci_GZiA-MaNKbuUunBgnSlgpMJcaNQ=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.96108
UgyF-nHCvBe25bfGeVd4AaABAg,"Ein Quant ist Null,Danke",2 years ago,@ГеннадийШабала-р9м,UCToD0oepY-Kx7op9Q-o593Q,0,https://yt3.ggpht.com/ytc/AIdro_kvPZXhQaRHDbWJzEw5GBnYrokDKGoSfda-63h4IuIPmTlSMW7wMo5tzqBQcw58BY3sa20=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.962728
UgzplZLbRCRyftn-ymx4AaABAg,I'm Love space 🌌 movies,2 years ago,@top10deepak50,UCnUisEMMllbbAaDoCJYwCAQ,0,https://yt3.ggpht.com/P-uBsh7eNerzN3B_ttSlJJMJ--lUsVCfaNdFYh6-RtHdPNS3pxDwbcQd_xCkMqyJ0gp4--Mk1w=s88-c-k-c0x00ffffff-no-rj,False,False,1678475498.96436
